Day,Customer Demand,Inventory Level,Lost Sales,Holding Cost,Stockout Cost,Total Ordering Cost
0,8,42,0,42,0,0
1,9,33,0,33,0,0
2,8,25,0,25,0,0
3,8,17,0,17,0,0
4,6,11,0,11,0,20
5,9,2,0,2,0,20
6,12,0,10,0,50,20
7,1,0,1,0,5,20
8,11,0,11,0,55,20
9,7,0,7,0,35,20
10,11,0,11,0,55,20
11,10,0,10,0,50,20
12,15,0,15,0,75,20
13,5,45,0,45,0,20
14,12,33,0,33,0,20
15,14,19,0,19,0,20
16,4,15,0,15,0,40
17,11,4,0,4,0,40
18,5,0,1,0,5,40
19,4,0,4,0,20,40
20,7,0,7,0,35,40
21,5,0,5,0,25,40
22,9,0,9,0,45,40
23,10,0,10,0,50,40
24,7,0,7,0,35,40
25,8,42,0,42,0,40
26,8,34,0,34,0,40
27,1,33,0,33,0,40
28,4,29,0,29,0,40
29,15,14,0,14,0,40
30,6,8,0,8,0,60
31,16,0,8,0,40,60
32,11,0,11,0,55,60
33,13,0,13,0,65,60
34,7,0,7,0,35,60
35,5,0,5,0,25,60
36,7,0,7,0,35,60
37,11,0,11,0,55,60
38,10,0,10,0,50,60
39,11,39,0,39,0,60
40,13,26,0,26,0,60
41,11,15,0,15,0,60
42,14,1,0,1,0,80
43,8,0,7,0,35,80
44,10,0,10,0,50,80
45,6,0,6,0,30,80
46,11,0,11,0,55,80
47,12,0,12,0,60,80
48,8,0,8,0,40,80
49,16,0,16,0,80,80
50,10,0,10,0,50,80
51,8,42,0,42,0,80
52,15,27,0,27,0,80
53,9,18,0,18,0,80
54,15,3,0,3,0,100
55,11,0,8,0,40,100
56,6,0,6,0,30,100
57,9,0,9,0,45,100
58,8,0,8,0,40,100
59,9,0,9,0,45,100
60,9,0,9,0,45,100
61,9,0,9,0,45,100
62,9,0,9,0,45,100
63,9,41,0,41,0,100
64,12,29,0,29,0,100
65,9,20,0,20,0,100
66,9,11,0,11,0,100
67,8,3,0,3,0,120
68,5,0,2,0,10,120
69,7,0,7,0,35,120
70,6,0,6,0,30,120
71,7,0,7,0,35,120
72,10,0,10,0,50,120
73,9,0,9,0,45,120
74,11,0,11,0,55,120
75,4,0,4,0,20,120
76,7,43,0,43,0,120
77,9,34,0,34,0,120
78,7,27,0,27,0,120
79,10,17,0,17,0,120
80,7,10,0,10,0,140
81,11,0,1,0,5,140
82,10,0,10,0,50,140
83,7,0,7,0,35,140
84,11,0,11,0,55,140
85,15,0,15,0,75,140
86,4,0,4,0,20,140
87,10,0,10,0,50,140
88,9,0,9,0,45,140
89,5,45,0,45,0,140
90,5,40,0,40,0,140
91,5,35,0,35,0,140
92,7,28,0,28,0,140
93,10,18,0,18,0,140
94,14,4,0,4,0,160
95,11,0,7,0,35,160
96,12,0,12,0,60,160
97,7,0,7,0,35,160
98,14,0,14,0,70,160
99,9,0,9,0,45,160
